('8', 14291.834529109894)
('11', 11081.056646374956)
('3', 8610.88394506706)
('12', 6638.840500684592)
('7', 6257.561693379998)
('33', 5642.152676718929)
('2', 5439.647722663122)
('4', 4983.380894469073)
('9', 4876.167221503071)
('13', 4522.180108806821)
('1', 4480.200081334087)
('6', 4202.672121769239)
('5', 4009.260074149297)
('32', 3758.000703179201)
('26', 2903.614731989722)
('25', 2552.589671772259)
('23', 2093.742219308804)
('10', 2044.8789537158643)
('30', 1944.2957074173064)
('24', 1942.500711495649)
('39', 1653.1986805337833)
('18', 1635.7624723902352)
('28', 1599.4373543017182)
('48', 1583.9239690185543)
('74', 1504.0562458163924)
('21', 1481.5040188345965)
('44', 1463.3456946941897)
('22', 1463.0031960917952)
('15', 1285.3336582109928)
('64', 1233.5651873161721)
('70', 1230.5909450920885)
('46', 1230.3050168508166)
('45', 1075.9824195953395)
('14', 1028.7087822948859)
('29', 1024.5540212231706)
('31', 1010.7805546524913)
('42', 996.1693928270425)
('20', 980.2635287491781)
('68', 888.635820477089)
('89', 880.539047099609)
('77', 868.5550299445124)
('17', 808.9688728994095)
('139', 795.609084460504)
('55', 782.7739659189436)
('142', 778.1467210908592)
('16', 741.1884540557952)
('47', 728.0010706654407)
('85', 693.1375192013987)
('35', 673.7455784354987)
('41', 665.3762309235291)
('136', 661.8557852394833)
('80', 658.2471302053912)
('58', 657.3921744292862)
('50', 654.9464597847908)
('73', 629.5528740514579)
('156', 626.1212730767875)
('114', 623.8848664903627)
('19', 594.4484410977841)
('133', 573.6093220198246)
('83', 571.4346292485359)
('65', 538.9312019417159)
('37', 534.3781710380283)
('38', 527.7883446406548)
('27', 524.945022722915)
('78', 518.1263870504878)
('49', 512.2754989380317)
('165', 503.6054899704562)
('36', 499.9232002617488)
('57', 494.37016477783567)
('91', 490.99878122020715)
('137', 485.0299984272633)
('128', 476.66670466111395)
('105', 460.95146140499935)
('193', 453.0888075297547)
('151', 452.35046818264874)
('102', 451.0989209571617)
('108', 443.26305309069124)
('72', 440.8951305478642)
('40', 432.0323569366612)
('143', 431.9883112635535)
('61', 429.96950041501407)
('95', 426.441593960787)
('126', 424.87427386321116)
('147', 424.6315496119969)
('115', 407.68989996703147)
('93', 406.3730123840294)
('88', 405.96971437684266)
('220', 398.58091104623355)
('90', 398.2272976461714)
('101', 397.88567263806306)
('75', 395.7999429152894)
('62', 392.5590351153979)
('51', 391.0285968425391)
('207', 382.77890572098886)
('52', 382.4157368136272)
('185', 366.9424089898173)
('82', 364.87040699805533)
('59', 359.02674725888147)
('81', 352.96795975240315)
('106', 351.3819901509983)
('259', 343.8803950741603)
('53', 342.74712990837236)
('243', 335.4584878446203)
('63', 320.0624243229168)
('121', 319.8388978359273)
('34', 316.44020596037484)
('96', 316.0657324607016)
('116', 314.77303498650195)
('161', 307.2326971266296)
('199', 302.0911637741964)
('197', 295.6742826547135)
('67', 294.48433721031404)
('60', 289.63020390582534)
('149', 289.5974794547632)
('157', 286.49481240272706)
('205', 283.07494135637035)
('79', 281.68166734852696)
('241', 278.70778705975164)
('186', 276.47747567731955)
('66', 274.4835682997955)
('170', 273.1948842690868)
('210', 270.84364117814397)
('229', 263.00857775354564)
('145', 260.2000070423257)
('122', 258.8508142797606)
('117', 256.5473916835786)
('195', 253.78233301505966)
('225', 252.60146944828793)
('163', 246.7930728939405)
('250', 246.4348174460159)
('130', 245.12012577414518)
('54', 245.03611737252243)
('110', 243.41989626765346)
('135', 240.43977021894662)
('230', 239.8102556949907)
('169', 238.2611000718081)
('113', 237.83281285918378)
('159', 236.44031694941876)
('69', 235.82754120233827)
('184', 229.59082055490663)
('332', 225.43201828220774)
('173', 224.97190786342406)
('140', 221.5783957070314)
('297', 221.27896429261511)
('256', 220.9901614882765)
('158', 220.43982759064937)
('224', 216.13958640642537)
('148', 215.2676771942436)
('123', 214.1273847625828)
('189', 212.358674809926)
('267', 211.04040070305456)
('134', 211.00912574724435)
('94', 208.49301641126578)
('162', 207.62280658236475)
('98', 207.31167467675195)
('97', 207.06776097405776)
('154', 206.34662561787343)
('383', 202.12559458120109)
('152', 200.15792688022685)
('203', 199.81829902817333)
('125', 197.3055936856318)
('92', 196.87024712759757)
('127', 196.831116928784)
('131', 196.1755171414428)
('411', 194.75186487213702)
('104', 192.13805453556972)
('168', 191.0491956221627)
('216', 190.80875131799397)
('183', 190.65377800090494)
('109', 189.51488048339905)
