0	1150.7539682539682
1	1450.9369047619061
2	2313.8277777777766
3	1174.471825396826
4	1067.2345238095245
5	1035.0607142857148
6	1686.7428571428572
7	4619.737698412701
8	1556.592857142857
9	470.1595238095237
10	260.95000000000005
11	205.45000000000002
12	649.9499999999999
13	435.08333333333337
14	219.41666666666669
15	1086.5
16	126.66666666666667
17	198.33333333333334
18	29.366666666666667
19	235.0
20	164.5
21	108.5
22	177.5
23	104.33333333333333
24	14.0
25	66.0
26	16.5
27	31.5
28	60.0
29	36.0
30	34.0
31	101.5
32	52.0
33	34.166666666666664
34	111.0
35	33.5
36	26.666666666666664
37	35.0
38	35.0
39	20.0
40	27.0
41	28.0
42	24.5
43	26.0
44	24.0
45	26.0
46	14.0
47	20.0
48	11.5
49	18.0
50	7.5
51	18.5
52	14.0
53	12.5
54	14.0
55	3561.889682539682
56	1236.6166666666668
57	254.23333333333335
58	381.7
59	364.9166666666667
60	328.33333333333337
61	845.2666666666667
62	261.0
63	1866.1666666666665
64	104.78333333333335
65	415.6666666666667
66	344.25
67	90.66666666666666
68	124.66666666666667
69	72.33333333333333
70	111.83333333333333
71	71.41666666666667
72	165.0
73	42.33333333333333
74	59.0
75	62.5
76	48.0
77	92.0
78	57.5
79	110.5
80	115.5
81	57.5
82	41.5
83	24.666666666666664
84	20.0
85	16.0
86	18.5
87	10.5
88	32.5
89	18.5
90	15.0
91	12.5
92	24.0
93	17.0
94	11.0
95	28.0
96	10.5
97	12.5
98	12.5
99	11.5
100	12.5
101	11.5
102	15.0
103	2221.635714285714
104	104.31666666666666
105	590.0833333333334
106	468.6666666666667
107	127.16666666666667
108	327.5
109	448.0
110	123.16666666666666
111	31.0
112	76.5
113	361.83333333333337
114	66.66666666666667
115	251.66666666666669
116	21.166666666666664
117	48.0
118	134.33333333333334
119	112.0
120	76.5
121	148.5
122	14.833333333333332
123	58.5
124	45.33333333333333
125	21.0
126	12.166666666666668
127	39.0
128	49.0
129	30.0
130	14.0
131	25.0
132	22.0
133	27.0
134	41.0
135	12.5
136	31.5
137	22.0
138	16.5
139	30.5
140	20.5
141	15.666666666666668
142	18.5
143	20.0
144	20.0
145	12.5
146	26.0
147	12.5
148	11.5
149	28.5
150	25.5
151	4.333333333333333
152	14.0
153	20.0
154	19.0
155	11.0
156	14.0
157	244.25000000000003
158	461.75
159	111.41666666666666
160	30.0
161	68.16666666666666
162	150.5
163	323.5
164	86.0
165	55.0
166	52.0
167	65.5
168	127.5
169	36.83333333333333
170	15.0
171	21.0
172	23.5
173	73.0
174	27.0
175	41.5
176	25.5
177	26.0
178	18.5
179	15.0
180	9.416666666666668
181	35.0
